# x l P_ref P_forward P_backward_exp abs_err_forward rel_err_forward abs_err_backward rel_err_backward
0.1 0 1.000000000000000e+00 1.000000000000000e+00 1.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00
0.1 1 1.000000000000000e-01 1.000000000000000e-01 2.584363728065084e+00 0.000000000000000e+00 0.000000000000000e+00 2.484363728065084e+00 2.484363728065084e+01
0.1 2 -4.850000000000000e-01 -4.850000000000000e-01 -1.123454407902373e-01 0.000000000000000e+00 0.000000000000000e+00 3.726545592097628e-01 7.683599158964181e-01
0.1 3 -1.475000000000000e-01 -1.475000000000000e-01 -1.741633392175096e+00 2.775557561562891e-17 1.881733940042638e-16 1.594133392175096e+00 1.080768401474641e+01
0.1 4 3.379375000000000e-01 3.379375000000000e-01 -2.205267630379638e-01 0.000000000000000e+00 0.000000000000000e+00 5.584642630379638e-01 1.652566711412506e+00
0.1 5 1.788287500000000e-01 1.788287500000000e-01 1.353611896393243e+00 0.000000000000000e+00 0.000000000000000e+00 1.174783146393243e+00 6.569319230790592e+00
0.1 6 -2.488293125000000e-01 -2.488293125000000e-01 4.319344835370645e-01 0.000000000000000e+00 0.000000000000000e+00 6.807637960370645e-01 2.735866563297540e+00
0.1 7 -1.994929437500000e-01 -1.994929437500000e-01 -1.080022364251611e+00 0.000000000000000e+00 0.000000000000000e+00 8.805294205016106e-01 4.413837421764000e+00
0.1 8 1.803207214843750e-01 1.803207214843750e-01 -5.804468663921085e-01 2.775557561562891e-17 1.539233837750254e-16 7.607675878764835e-01 4.218969298780256e+00
0.1 9 2.113876418359375e-01 2.113876418359375e-01 8.503799156829225e-01 0.000000000000000e+00 0.000000000000000e+00 6.389922738469850e-01 3.022845935066160e+00
0.1 10 -1.221249973871094e-01 -1.221249973871093e-01 6.839743637326530e-01 2.775557561562891e-17 2.272718625135348e-16 8.060993611197623e-01 6.600609034730251e+00
0.1 11 -2.154853557156641e-01 -2.154853557156641e-01 -6.424957266355138e-01 0.000000000000000e+00 0.000000000000000e+00 4.270103709198497e-01 1.981621300907779e+00
0.1 12 7.064655442601463e-02 7.064655442601460e-02 -7.501215143600720e-01 2.775557561562891e-17 3.928793957629772e-16 8.207680687860867e-01 1.161794903452291e+01
0.1 13 2.124954349733081e-01 2.124954349733081e-01 4.488188410558451e-01 0.000000000000000e+00 0.000000000000000e+00 2.363234060825370e-01 1.112134037666371e+00
0.1 14 -2.461910950787559e-02 -2.461910950787556e-02 7.830993255379799e-01 2.775557561562891e-17 1.127399657032679e-15 8.077184350458555e-01 3.280859670360816e+01
0.1 15 -2.030887671466102e-01 -2.030887671466102e-01 -2.674983820481126e-01 2.775557561562891e-17 1.366672121043116e-16 6.440961490150243e-02 3.171500610617475e-01
