n,heads
1,1
2,1
3,1
4,2
5,2
6,3
7,4
8,4
9,5
10,6
11,7
12,8
13,9
14,10
15,10
16,11
17,11
18,11
19,11
20,11
21,11
22,11
23,12
24,12
25,12
26,13
27,14
28,14
29,15
30,16
31,17
32,18
33,18
34,19
35,20
36,20
37,21
38,21
39,22
40,22
41,22
42,23
43,23
44,23
45,24
46,25
47,25
48,26
49,26
50,26
51,27
52,28
53,28
54,29
55,30
56,30
57,30
58,30
59,31
60,31
61,32
62,33
63,34
64,35
65,36
66,36
67,37
68,38
69,39
70,40
71,40
72,41
73,42
74,42
75,42
76,42
77,42
78,43
79,44
80,45
81,45
82,45
83,46
84,46
85,46
86,47
87,48
88,49
89,50
90,51
91,52
92,52
93,52
94,52
95,52
96,52
97,53
98,54
99,55
100,56
101,57
102,57
103,57
104,58
105,58
106,58
107,58
108,58
109,59
110,60
111,61
112,61
113,61
114,61
115,61
116,62
117,63
118,63
119,63
120,64
121,65
122,66
123,66
124,66
125,67
126,68
127,69
128,69
129,70
130,71
131,72
132,72
133,73
134,73
135,74
136,75
137,76
138,77
139,77
140,77
141,78
142,79
143,80
144,80
145,80
146,81
147,82
148,83
149,84
150,85
151,85
152,86
153,87
154,87
155,87
156,87
157,87
158,88
159,89
160,89
161,89
162,89
163,89
164,89
165,89
166,89
167,90
168,90
169,91
170,91
171,92
172,93
173,93
174,94
175,95
176,95
177,96
178,96
179,96
180,96
181,96
182,97
183,98
184,99
185,99
186,100
187,101
188,102
189,102
190,103
191,103
192,103
193,103
194,104
195,105
196,106
197,107
198,108
199,108
200,109
201,110
202,110
203,111
204,111
205,111
206,112
207,112
208,113
209,113
210,114
211,114
212,115
213,115
214,116
215,117
216,118
217,119
218,120
219,120
220,121
221,122
222,123
223,123
224,124
225,125
226,125
227,126
228,127
229,127
230,128
231,129
232,129
233,129
234,130
235,131
236,131
237,132
238,133
239,134
240,135
241,136
242,137
243,138
244,139
245,139
246,140
247,140
248,140
249,141
250,142
251,143
252,144
253,144
254,145
255,145
256,146
257,147
258,148
259,149
260,149
261,149
262,149
263,149
264,150
265,150
266,150
267,151
268,152
269,153
270,153
271,153
272,154
273,155
274,156
275,157
276,157
277,158
278,159
279,160
280,161
281,162
282,162
283,162
284,162
285,163
286,163
287,164
288,165
289,166
290,167
291,168
292,168
293,168
294,168
295,169
296,170
297,170
298,170
299,171
300,172
301,173
302,174
303,174
304,175
305,175
306,176
307,177
308,178
309,178
310,178
311,179
312,180
313,181
314,181
315,181
316,181
317,181
318,182
319,183
320,183
321,183
322,183
323,183
324,183
325,183
326,184
327,185
328,186
329,187
330,187
331,187
332,188
333,189
334,190
335,190
336,191
337,191
338,191
339,192
340,193
341,194
342,194
343,194
344,194
345,195
346,195
347,196
348,196
349,197
350,197
351,198
352,198
353,198
354,198
355,198
356,198
357,198
358,199
359,200
360,200
361,201
362,201
363,202
364,202
365,203
366,204
367,204
368,204
369,205
370,206
371,207
372,208
373,209
374,210
375,211
376,212
377,212
378,213
379,213
380,213
381,213
382,213
383,214
384,214
385,215
386,216
387,217
388,218
389,219
390,220
391,221
392,222
393,222
394,223
395,223
396,224
397,225
398,226
399,227
400,228
401,228
402,229
403,230
404,230
405,231
406,231
407,231
408,232
409,232
410,232
411,233
412,234
413,234
414,234
415,235
416,236
417,237
418,237
419,238
420,238
421,238
422,239
423,239
424,239
425,239
426,239
427,239
428,240
429,241
430,242
431,243
432,243
433,244
434,245
435,245
436,246
437,246
438,247
439,247
440,247
441,248
442,249
443,250
444,250
445,251
446,251
447,251
448,251
449,252
450,252
451,252
452,253
453,254
454,254
455,254
456,255
457,255
458,255
459,255
460,255
461,255
462,255
463,255
464,255
465,255
466,256
467,257
468,258
469,258
470,258
471,259
472,259
473,260
474,260
475,260
476,260
477,261
478,262
479,262
480,262
481,262
482,263
483,263
484,263
485,264
486,264
487,264
488,264
489,264
490,265
491,266
492,267
493,267
494,268
495,268
496,268
497,269
498,269
499,270
500,270
501,270
502,270
503,271
504,271
505,271
506,272
507,273
508,274
509,274
510,274
511,274
512,275
513,275
514,276
515,276
516,277
517,278
518,278
519,278
520,278
521,279
522,280
523,280
524,281
525,281
526,281
527,282
528,283
529,284
530,285
531,286
532,286
533,287
534,288
535,289
536,290
537,290
538,291
539,292
540,292
541,292
542,293
543,293
544,293
545,293
546,293
547,293
548,293
549,293
550,294
551,295
552,295
553,295
554,295
555,295
556,296
557,297
558,298
559,298
560,298
561,299
562,300
563,301
564,302
565,302
566,302
567,302
568,303
569,303
570,304
571,305
572,306
573,306
574,306
575,307
576,308
577,309
578,310
579,310
580,311
581,312
582,312
583,313
584,314
585,315
586,315
587,316
588,316
589,316
590,316
591,317
592,318
593,318
594,319
595,320
596,321
597,322
598,322
599,323
600,323
601,323
602,323
