y,CDF_x,CDF_y
0.045045,0.000001,0.000020
1.375548,0.000019,0.000040
0.645685,0.000024,0.000060
0.347863,0.000059,0.000080
0.737287,0.000060,0.000100
0.295831,0.000082,0.000120
1.022765,0.000090,0.000140
0.029937,0.000097,0.000160
0.135334,0.000109,0.000180
0.424512,0.000124,0.000200
1.808156,0.000124,0.000220
0.209219,0.000131,0.000240
0.089602,0.000135,0.000260
0.781967,0.000189,0.000280
0.540476,0.000215,0.000300
0.919818,0.000220,0.000320
0.190332,0.000228,0.000340
0.792589,0.000243,0.000360
0.257508,0.000270,0.000380
0.259386,0.000273,0.000400
1.734270,0.000293,0.000420
0.580176,0.000311,0.000440
0.962781,0.000322,0.000460
1.232866,0.000346,0.000480
0.594408,0.000359,0.000500
0.193054,0.000361,0.000520
0.839502,0.000370,0.000540
0.162823,0.000382,0.000560
0.364823,0.000388,0.000580
0.650039,0.000400,0.000600
1.088754,0.000476,0.000620
1.784658,0.000520,0.000640
0.920760,0.000546,0.000660
0.508489,0.000550,0.000680
0.633946,0.000554,0.000700
0.561317,0.000560,0.000720
1.304298,0.000564,0.000740
0.458257,0.000574,0.000760
0.258752,0.000602,0.000780
0.059128,0.000603,0.000800
0.125081,0.000605,0.000820
0.782126,0.000629,0.000840
1.541727,0.000656,0.000860
1.284063,0.000656,0.000880
2.634572,0.000656,0.000900
1.143881,0.000664,0.000920
0.151547,0.000664,0.000940
0.964213,0.000668,0.000960
0.165658,0.000686,0.000980
0.929552,0.000686,0.001000
0.478485,0.000687,0.001020
1.309779,0.000735,0.001040
1.929424,0.000741,0.001060
0.034945,0.000782,0.001080
0.327959,0.000783,0.001100
0.245271,0.000784,0.001120
0.458196,0.000795,0.001140
1.134599,0.000816,0.001160
1.468600,0.000818,0.001180
0.811567,0.000821,0.001200
0.530772,0.000829,0.001220
0.413653,0.000829,0.001240
0.443673,0.000833,0.001260
2.529441,0.000846,0.001280
0.432204,0.000862,0.001300
0.247234,0.000888,0.001320
0.200370,0.000890,0.001340
0.358409,0.000905,0.001360
0.995190,0.000913,0.001380
0.126810,0.000942,0.001400
0.153475,0.000961,0.001420
0.567551,0.000991,0.001440
0.405274,0.001022,0.001460
0.226070,0.001026,0.001480
0.850354,0.001052,0.001500
0.053930,0.001060,0.001520
0.684137,0.001070,0.001540
0.187819,0.001075,0.001560
0.615943,0.001081,0.001580
0.618970,0.001084,0.001600
1.101082,0.001090,0.001620
1.156813,0.001098,0.001640
0.103285,0.001106,0.001660
0.503617,0.001126,0.001680
0.306529,0.001151,0.001700
1.228458,0.001166,0.001720
0.097372,0.001179,0.001740
0.019926,0.001183,0.001760
0.553144,0.001202,0.001780
0.391243,0.001208,0.001800
1.434997,0.001209,0.001820
0.680906,0.001223,0.001840
1.299282,0.001258,0.001860
0.392784,0.001259,0.001880
0.507898,0.001336,0.001900
0.531668,0.001347,0.001920
0.226580,0.001365,0.001940
0.662031,0.001379,0.001960
0.245376,0.001384,0.001980
0.092411,0.001409,0.002000
0.438583,0.001422,0.002020
0.104148,0.001433,0.002040
0.431978,0.001435,0.002060
0.429182,0.001440,0.002080
0.220671,0.001451,0.002100
0.319958,0.001465,0.002120
0.093372,0.001469,0.002140
2.338302,0.001472,0.002160
0.141279,0.001484,0.002180
2.556756,0.001523,0.002200
0.067284,0.001553,0.002220
0.104643,0.001554,0.002240
0.062777,0.001559,0.002260
1.247298,0.001562,0.002280
0.556088,0.001569,0.002300
0.273530,0.001578,0.002320
1.725087,0.001584,0.002340
0.280587,0.001597,0.002360
0.212797,0.001610,0.002380
1.673842,0.001623,0.002400
0.261146,0.001659,0.002420
0.004888,0.001660,0.002440
0.226898,0.001661,0.002460
0.089118,0.001665,0.002480
0.281113,0.001688,0.002500
0.418476,0.001748,0.002520
0.963467,0.001759,0.002540
0.845764,0.001761,0.002560
1.065525,0.001762,0.002580
0.382030,0.001772,0.002600
0.158310,0.001777,0.002620
0.022537,0.001788,0.002640
1.361486,0.001808,0.002660
1.821297,0.001942,0.002680
0.092243,0.001944,0.002700
0.105267,0.001988,0.002720
2.403172,0.002008,0.002740
0.074896,0.002009,0.002760
0.049786,0.002011,0.002780
0.150647,0.002017,0.002800
0.026900,0.002025,0.002820
0.234258,0.002047,0.002840
0.431831,0.002047,0.002860
0.110370,0.002052,0.002880
0.848036,0.002056,0.002900
0.210214,0.002059,0.002920
1.193740,0.002104,0.002940
0.366080,0.002105,0.002960
0.123095,0.002108,0.002980
0.832664,0.002123,0.003000
0.014163,0.002149,0.003020
0.216912,0.002164,0.003040
0.329357,0.002168,0.003060
0.341086,0.002169,0.003080
1.509758,0.002175,0.003100
1.541883,0.002176,0.003120
0.270178,0.002193,0.003140
0.771208,0.002202,0.003160
0.399067,0.002210,0.003180
0.395241,0.002216,0.003200
0.148679,0.002230,0.003220
0.139560,0.002237,0.003240
0.089649,0.002237,0.003260
0.596446,0.002240,0.003280
0.717736,0.002261,0.003300
1.194102,0.002262,0.003320
0.077325,0.002267,0.003340
0.271436,0.002268,0.003360
1.768415,0.002295,0.003380
0.633514,0.002322,0.003400
0.777966,0.002322,0.003420
0.059985,0.002330,0.003440
1.738154,0.002336,0.003460
0.903907,0.002356,0.003480
3.312474,0.002365,0.003500
0.222827,0.002369,0.003520
1.781713,0.002388,0.003540
0.043970,0.002397,0.003560
0.809679,0.002415,0.003580
0.050162,0.002420,0.003600
0.440324,0.002436,0.003620
1.373791,0.002447,0.003640
0.536223,0.002482,0.003660
1.068922,0.002528,0.003680
0.399885,0.002557,0.003700
0.505891,0.002588,0.003720
0.808228,0.002594,0.003740
0.286702,0.002611,0.003760
0.433370,0.002615,0.003780
0.502058,0.002626,0.003800
0.252999,0.002639,0.003820
0.590531,0.002640,0.003840
0.206762,0.002653,0.003860
1.321997,0.002661,0.003880
1.607372,0.002697,0.003900
0.349614,0.002740,0.003920
0.336672,0.002741,0.003940
1.498826,0.002761,0.003960
0.254959,0.002804,0.003980
0.130427,0.002828,0.004000
0.664836,0.002872,0.004020
0.047389,0.002878,0.004040
0.265155,0.002882,0.004060
0.568358,0.002910,0.004080
1.668408,0.002930,0.004100
0.089078,0.002967,0.004120
0.282712,0.002969,0.004140
0.061311,0.002989,0.004160
0.509858,0.003006,0.004180
0.822295,0.003012,0.004200
0.674350,0.003039,0.004220
0.828226,0.003085,0.004240
0.056134,0.003086,0.004260
0.474794,0.003111,0.004280
3.485501,0.003118,0.004300
0.555039,0.003145,0.004320
0.215359,0.003147,0.004340
0.262202,0.003163,0.004360
1.579384,0.003165,0.004380
0.453134,0.003167,0.004400
0.949946,0.003182,0.004420
0.777460,0.003215,0.004440
0.514502,0.003263,0.004460
1.431229,0.003273,0.004480
0.285400,0.003277,0.004500
1.957567,0.003287,0.004520
0.090452,0.003310,0.004540
0.173390,0.003313,0.004560
0.407862,0.003341,0.004580
1.863390,0.003378,0.004600
0.623033,0.003407,0.004620
0.152277,0.003428,0.004640
0.671508,0.003428,0.004660
0.707123,0.003443,0.004680
0.518838,0.003477,0.004700
0.198949,0.003483,0.004720
0.352085,0.003515,0.004740
0.487967,0.003541,0.004760
0.777409,0.003542,0.004780
0.001610,0.003554,0.004800
1.683419,0.003560,0.004820
0.151491,0.003608,0.004840
1.061083,0.003626,0.004860
1.565912,0.003632,0.004880
0.000220,0.003645,0.004900
0.053308,0.003648,0.004920
0.371013,0.003663,0.004940
0.034429,0.003682,0.004960
0.827632,0.003689,0.004980
0.849163,0.003746,0.005000
1.604617,0.003749,0.005020
3.579842,0.003821,0.005040
0.444823,0.003827,0.005060
0.085784,0.003846,0.005080
0.916028,0.003865,0.005100
2.289840,0.003871,0.005120
0.311237,0.003889,0.005140
0.396928,0.003892,0.005160
0.027821,0.003895,0.005180
1.874036,0.003909,0.005200
0.031642,0.003909,0.005220
0.536377,0.003931,0.005240
1.021925,0.003945,0.005260
0.270048,0.003985,0.005280
0.571905,0.003988,0.005300
0.556857,0.003988,0.005320
0.055685,0.003997,0.005340
0.310783,0.004005,0.005360
0.089795,0.004048,0.005380
0.204446,0.004049,0.005400
0.660166,0.004058,0.005420
0.294393,0.004069,0.005440
0.037352,0.004095,0.005460
0.042165,0.004109,0.005480
0.034319,0.004127,0.005500
0.295810,0.004163,0.005520
0.077637,0.004172,0.005540
1.052469,0.004172,0.005560
1.424370,0.004180,0.005580
0.084440,0.004184,0.005600
0.760612,0.004191,0.005620
0.743395,0.004213,0.005640
0.255178,0.004221,0.005660
0.115996,0.004228,0.005680
0.235423,0.004229,0.005700
0.033318,0.004230,0.005720
0.018094,0.004232,0.005740
0.303813,0.004247,0.005760
1.253537,0.004251,0.005780
1.466009,0.004263,0.005800
0.646205,0.004266,0.005820
0.558202,0.004289,0.005840
0.144239,0.004295,0.005860
0.061105,0.004320,0.005880
0.623916,0.004343,0.005900
1.380862,0.004347,0.005920
0.122658,0.004363,0.005940
0.012810,0.004369,0.005960
1.554276,0.004386,0.005980
1.045477,0.004390,0.006000
0.082720,0.004395,0.006020
2.252191,0.004401,0.006040
0.170853,0.004411,0.006060
0.309545,0.004412,0.006080
0.440717,0.004417,0.006100
0.249498,0.004424,0.006120
2.286278,0.004438,0.006140
1.680338,0.004451,0.006160
0.074309,0.004455,0.006180
0.689777,0.004468,0.006200
0.283116,0.004470,0.006220
0.017545,0.004480,0.006240
0.137964,0.004482,0.006260
0.109675,0.004483,0.006280
1.864816,0.004497,0.006300
1.780011,0.004507,0.006320
0.113745,0.004511,0.006340
2.160603,0.004520,0.006360
1.636479,0.004554,0.006380
0.452874,0.004582,0.006400
1.292559,0.004597,0.006420
0.243018,0.004636,0.006440
0.514401,0.004644,0.006460
0.217083,0.004647,0.006480
0.957568,0.004664,0.006500
0.720762,0.004709,0.006520
1.042871,0.004715,0.006540
0.499448,0.004719,0.006560
0.151081,0.004731,0.006580
0.183631,0.004757,0.006600
0.123182,0.004757,0.006620
0.020117,0.004800,0.006640
0.956534,0.004812,0.006660
0.456270,0.004823,0.006680
3.457537,0.004840,0.006700
0.113253,0.004882,0.006720
0.268242,0.004888,0.006740
0.463469,0.004892,0.006760
1.149642,0.004918,0.006780
0.571444,0.004927,0.006800
0.476947,0.004941,0.006820
0.318328,0.004943,0.006840
0.946213,0.004955,0.006860
0.359692,0.004965,0.006880
0.248449,0.004969,0.006900
0.104748,0.004971,0.006920
1.022388,0.004975,0.006940
1.493582,0.004977,0.006960
0.295932,0.004995,0.006980
0.629690,0.005022,0.007000
0.339216,0.005034,0.007020
0.708758,0.005070,0.007040
0.042504,0.005089,0.007060
0.192385,0.005095,0.007080
0.121596,0.005096,0.007100
0.318688,0.005098,0.007120
0.383485,0.005111,0.007140
0.112503,0.005162,0.007160
4.466026,0.005167,0.007180
0.322799,0.005173,0.007200
0.532122,0.005180,0.007220
0.430482,0.005201,0.007240
0.183525,0.005223,0.007260
0.185088,0.005278,0.007280
0.977164,0.005296,0.007300
3.076387,0.005307,0.007320
1.534684,0.005314,0.007340
0.830973,0.005317,0.007360
0.236775,0.005328,0.007380
0.777479,0.005341,0.007400
0.592424,0.005371,0.007420
0.404122,0.005379,0.007440
0.756958,0.005381,0.007460
0.481755,0.005392,0.007480
0.007012,0.005397,0.007500
0.265245,0.005409,0.007520
0.158676,0.005416,0.007540
0.710081,0.005433,0.007560
0.047062,0.005437,0.007580
0.213381,0.005438,0.007600
0.494978,0.005449,0.007620
0.012928,0.005470,0.007640
1.716481,0.005476,0.007660
0.032237,0.005508,0.007680
0.814337,0.005509,0.007700
1.050537,0.005523,0.007720
0.586981,0.005525,0.007740
0.258788,0.005541,0.007760
0.888982,0.005546,0.007780
0.165312,0.005548,0.007800
1.267126,0.005575,0.007820
1.729018,0.005603,0.007840
0.113984,0.005614,0.007860
2.747230,0.005635,0.007880
0.769484,0.005635,0.007900
0.170531,0.005640,0.007920
0.127625,0.005647,0.007940
1.272848,0.005657,0.007960
0.299863,0.005660,0.007980
1.791136,0.005699,0.008000
0.732373,0.005711,0.008020
0.399503,0.005718,0.008040
1.971939,0.005739,0.008060
1.162212,0.005754,0.008080
1.036906,0.005755,0.008100
0.267604,0.005781,0.008120
1.975888,0.005801,0.008140
0.137730,0.005802,0.008160
0.089760,0.005806,0.008180
0.800727,0.005825,0.008200
0.155786,0.005827,0.008220
1.854238,0.005857,0.008240
0.616655,0.005864,0.008260
0.423691,0.005878,0.008280
0.324426,0.005948,0.008300
0.945323,0.005955,0.008320
0.619992,0.005983,0.008340
0.485220,0.005983,0.008360
0.569922,0.006010,0.008380
0.785217,0.006022,0.008400
0.002415,0.006035,0.008420
0.207958,0.006040,0.008440
1.667078,0.006041,0.008460
0.016018,0.006045,0.008480
0.034681,0.006050,0.008500
0.027518,0.006052,0.008520
0.209834,0.006056,0.008540
0.358798,0.006062,0.008560
0.278156,0.006067,0.008580
0.921150,0.006080,0.008600
0.195333,0.006101,0.008620
0.605599,0.006106,0.008640
0.230602,0.006114,0.008660
1.413012,0.006120,0.008680
0.220898,0.006138,0.008700
0.067584,0.006146,0.008720
1.264486,0.006153,0.008740
1.385992,0.006183,0.008760
0.308375,0.006189,0.008780
1.106088,0.006194,0.008800
0.306604,0.006197,0.008820
0.247554,0.006236,0.008840
1.164431,0.006248,0.008860
0.332784,0.006263,0.008880
1.384291,0.006263,0.008900
0.483052,0.006264,0.008920
0.094760,0.006268,0.008940
0.962812,0.006276,0.008960
0.115873,0.006278,0.008980
0.492178,0.006289,0.009000
0.642428,0.006322,0.009020
0.166185,0.006335,0.009040
0.353380,0.006356,0.009060
0.436161,0.006364,0.009080
0.863295,0.006373,0.009100
1.899539,0.006383,0.009120
0.271558,0.006404,0.009140
1.841587,0.006485,0.009160
2.314296,0.006504,0.009180
1.478789,0.006522,0.009200
2.177014,0.006528,0.009220
0.636236,0.006531,0.009240
1.541495,0.006539,0.009260
0.318969,0.006571,0.009280
0.631867,0.006589,0.009300
0.583746,0.006593,0.009320
0.751897,0.006629,0.009340
1.137805,0.006632,0.009360
0.799171,0.006632,0.009380
2.147810,0.006641,0.009400
0.018870,0.006661,0.009420
0.346703,0.006686,0.009440
